STATION CODE,LOCATIONS,STATE,Temp,PH,Conductivity,BOD,NI,Fec_col,Tot_col,DO
2813.0,"SEA WATER AT GANAPATHIPULE, RATNAGIRI.",MAHARASHTRA,26.58,7.95,31535.5,4.05,3.06,4.08,124.17,6.25
2814.0,"SEA WATER AT BHAGWATI BUNDER, RATNAGIRI NEAR ULTRA TECH CEMENT JETTY AT MIRKARWADA.",MAHARASHTRA,28.09,8.03,24728.2,3.95,2.9,4.0,124.55,5.97
2815.0,MADVI SEA  WATER  AT RATNAGIRI NEAR JODHALE MARUTI TEMPLE AT MADVIGAON.,MAHARASHTRA,27.42,8.06,26033.0,4.2,3.02,4.42,132.5,5.85
2439.0,PURI,ORISSA,26.42,8.03,40106.7,1.28,0.77,398.58,725.25,7.05
2440.0,PARADEEP,ORISSA,28.25,7.93,41071.7,1.18,1.05,115.25,312.92,7.07
2441.0,GOPALPUR,ORISSA,27.58,7.93,41660.0,1.59,0.94,91.75,187.0,6.98
2354.0,"SAMARLA KOTA CANAL, KAKINADA,EAST GODAVARI",ANDHRA PRADESH,24.55,7.37,338.18,1.13,0.52,3.0,716.91,5.85
2355.0,"TULJE BAGH CANAL, TEKRI DRAIN,KAKINADA,EAST GODAVARI,",ANDHRA PRADESH,26.0,7.37,4849.55,1.31,1.77,3.09,793.82,5.98
3051.0,"BUDAMERU CANAL NR BDG AT NH-5, KEESARAPALLY,  KRISHNA",ANDHRA PRADESH,23.38,7.04,953.88,1.96,0.75,4.0,1437.5,3.38
2057.0,"AGRA CANAL, MADANPUR KHADAR",DELHI,,,,,,2100000000.0,2100000000.0,
2265.0,"CANAL UP STREAM OF CUNCOLIM INDL.EST. CUNCOLIM,SALCETE (1 KM FROM M/S NICOMENT INDUSTRIES)",GOA,30.5,5.68,55.3,1.31,0.08,7.0,150.0,7.65
2266.0,"CANAL DOWNSTREAM OF CUNCOLIM INDL.EST. CUNCOLIM,SALCETE (NEAR RAILWAY BRIDGE)",GOA,31.5,5.93,101.8,1.4,0.07,,120.0,7.82
2268.0,CUMBARJUA CANAL CORLIM(DISCHARGE POINT OF SYNGENTA LIMITED),GOA,30.0,6.5,176.53,2.25,0.14,1247.33,3501.67,4.96
2073.0,"NARMADA MAIN CANAL, NR. VILLAGE. LIMBADIA, DIST. GANDHINAGAR.",GUJARAT,27.25,8.21,252.0,2.0,0.39,8.0,24.5,7.91
2074.0,"TAPI CANAL AT VILLAGE UMARWADA, NEAR GIDC ESTATE OF PANOLI.",GUJARAT,29.42,8.08,482.58,2.09,0.54,49.08,321.92,7.28
1479.0,WESTERN YAMUNA CANAL AT HAIDERPUR WATER WORKS,DELHI,,,,,,21500.0,32500.0,
1111.0,W.YAM. CANAL C-3 DELHI BRANCH AT R.D.245250,HARYANA,26.67,7.56,217.33,1.57,0.1,,,7.36
1112.0,"W.YAM. CANAL C-4 BEFORE ENTER INTO DELHI BRANCH,R.D.282628",HARYANA,25.67,7.76,263.33,1.32,0.14,,,7.31
1115.0,W.YAM. CANAL C-7 DELHI PARALLEL BRANCH AT KHUBRU FALL RD-145250,HARYANA,26.33,7.73,217.33,2.02,0.27,,,6.98
1116.0,W.YAM. CANAL WC-4 DELHI PARALLEL BRANCH AT PANIPAT,HARYANA,22.0,7.85,267.5,2.44,0.14,16500.0,196500.0,7.2
3034.0,W.YAMUNA CANAL-KHUBRU OUTFALL,HARYANA/CPCB,,8.15,259.0,1.0,,3300.0,5800.0,
1419.0,"GURGAON CANAL, GC-1,(NEAR BADARPUR BORDER)",HARYANA,26.5,7.95,1115.0,31.5,1.2,,,1.3
